1	2	3	4	5	6
2781	2724	2878	2833	2523	2592
2694	2694	2751	2782	2518	2557
2607	2645	2748	2765	2505	2465
2583	2597	2560	2732	2504	2321
2542	2555	2546	2655	2463	2313
2535	2428	2527	2637	2334	2312
0	0	0	0	0	0
0	0	0	0	0	0
2286	2354	2251	2156	2105	2586
2225	2317	2243	2145	2097	2574
2177	2304	2222	2138	2076	2177
2175	2274	2185	2138	2043	1915
2140	2173	2164	2133	2029	1891
2137	2159	2135	2108	2524	1859
0	0	0	0	0	0
0	0	0	0	0	0
2573	2048	2540	2212	2137	2112
2537	2047	2521	2250	1906	2112
2515	1978	2474	2258	1890	2101
2380	1897	2331	2211	1852	2093
2314	1875	2309	2196	1781	1959
2325	1831	2470	2194	1764	1900
0	0	0	0	0	0
0	0	0	0	0	0
0	2587	0	0	2636	2295
0	2578	0	0	2589	2276
0	2183	0	0	2535	2214
0	2004	0	0	2444	2123
0	1901	0	0	2323	2062
0	1867	0	0	2291	2061
0	0	0	0	0	0
0	0	0	0	0	0
